"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-03-28;2023-03-28;2023-03-27;2023-03-28;2023-03-27;2023-03-27;2023-03-27;2023-03-27;2023-03-27;2023-03-27;2023-03-27;2023-03-27;2023-03-28;2023-03-27;2023-03-27;2023-03-27;2023-03-27","Afghanistan",1,4,2023-03-27,2023-03-27
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-04;2023-04-03;2023-04-04;2023-04-04;2023-04-05;2023-04-04;2023-04-04;2023-04-04;2023-04-04;2023-04-04","Afghanistan",1,0,2023-04-03,2023-04-03
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-04;2023-04-04;2023-04-05;2023-04-04;2023-04-04;2023-04-04;2023-04-04;2023-04-04;2023-04-09","Afghanistan",1,1,2023-04-03,2023-04-03
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-09;2023-04-05;2023-04-06;2023-04-06;2023-04-05;2023-04-05;2023-04-09;2023-04-06","Afghanistan",1,0,2023-04-05,2023-04-05
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-08;2023-04-08;2023-04-09;2023-04-07;2023-04-07;2023-04-08;2023-04-08","Afghanistan",1,0,2023-04-07,2023-04-07
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-10;2023-04-09;2023-04-09;2023-04-09;2023-04-09;2023-04-09","Afghanistan",1,0,2023-04-09,2023-04-09
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-04-12;2023-04-12;2023-04-12;2023-04-13;2023-04-13","Afghanistan",1,0,2023-04-12,2023-04-12
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43590","Afghanistan",1,0,2023-05-05,2023-05-05
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-05-09;2023-05-09;2023-05-09;2023-05-09","Afghanistan",1,0,2023-05-05,2023-05-08
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43593","Afghanistan",1,0,2023-05-08,2023-05-08
