"country","year_month","state_based_conflict","one_sided_violence","non_state_conflict","deaths_civilians","type_of_violence_category"
"DR Congo (Zaire)",2017-03-01,9,125,0,134,7
"DR Congo (Zaire)",2017-04-01,31,236,0,267,7
"DR Congo (Zaire)",2017-05-01,5,452,7,464,7
"DR Congo (Zaire)",2017-06-01,14,76,0,90,7
"DR Congo (Zaire)",2017-07-01,8,39,7,54,7
"DR Congo (Zaire)",2017-08-01,14,18,5,37,7
"DR Congo (Zaire)",2017-09-01,8,28,0,36,5
"DR Congo (Zaire)",2017-10-01,25,59,15,99,7
"DR Congo (Zaire)",2017-11-01,4,40,9,53,7
"DR Congo (Zaire)",2017-12-01,1,36,14,51,7
"DR Congo (Zaire)",2018-01-01,8,29,27,64,7
"DR Congo (Zaire)",2018-02-01,31,39,22,92,7
"DR Congo (Zaire)",2018-03-01,10,42,38,90,7
"DR Congo (Zaire)",2018-04-01,0,28,2,30,7
"DR Congo (Zaire)",2018-05-01,2,52,0,54,7
"DR Congo (Zaire)",2018-06-01,2,25,0,27,7
"DR Congo (Zaire)",2018-07-01,7,37,13,57,7
"DR Congo (Zaire)",2018-08-01,9,31,0,40,7
"DR Congo (Zaire)",2018-09-01,33,17,1,51,7
"DR Congo (Zaire)",2018-10-01,14,33,13,60,7
"DR Congo (Zaire)",2018-11-01,6,50,6,62,7
"DR Congo (Zaire)",2018-12-01,8,59,18,85,7
"DR Congo (Zaire)",2019-01-01,7,52,8,67,7
"DR Congo (Zaire)",2019-02-01,2,32,7,41,7
"DR Congo (Zaire)",2019-03-01,10,6,2,18,7
"DR Congo (Zaire)",2019-04-01,1,42,10,53,7
"DR Congo (Zaire)",2019-05-01,7,92,19,118,7
"DR Congo (Zaire)",2019-06-01,14,48,5,67,7
"DR Congo (Zaire)",2019-07-01,2,71,18,91,7
"DR Congo (Zaire)",2019-08-01,2,52,3,57,7
"DR Congo (Zaire)",2019-09-01,0,59,0,59,7
"DR Congo (Zaire)",2019-10-01,5,15,6,26,7
"DR Congo (Zaire)",2019-11-01,6,167,11,184,7
"DR Congo (Zaire)",2019-12-01,2,180,0,182,7
"DR Congo (Zaire)",2020-01-01,31,144,7,182,7
"DR Congo (Zaire)",2020-02-01,9,172,20,201,7
"DR Congo (Zaire)",2020-03-01,2,62,11,75,7
"DR Congo (Zaire)",2020-04-01,18,192,8,218,7
"DR Congo (Zaire)",2020-05-01,14,183,3,200,7
"DR Congo (Zaire)",2020-06-01,29,151,12,192,7
"DR Congo (Zaire)",2020-07-01,16,226,5,247,7
"DR Congo (Zaire)",2020-08-01,21,164,0,185,7
"DR Congo (Zaire)",2020-09-01,19,132,8,159,7
"DR Congo (Zaire)",2020-10-01,10,174,0,184,7
"DR Congo (Zaire)",2020-11-01,11,70,2,83,7
"DR Congo (Zaire)",2020-12-01,15,135,2,152,7
"DR Congo (Zaire)",2021-01-01,9,83,0,92,7
"DR Congo (Zaire)",2021-02-01,18,129,1,148,7
